Sections Found,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,11610,AFC,313,0,OA1,3,Contemporary Africa: Prospects,,TBA,30,0,30,0,0,0,0,0,0,Virginia M Ojala (P),08/30-12/17,ONLINE,Gen Ed Global Awareness,,,
SR,14008,AFC,351,0,MA1,3,The Social Context of African American Health,T,03:30 pm-04:45 pm,25,0,25,0,0,0,0,0,0,TBA,08/30-12/17,TBA,Gen Ed Disciplines-Soc Science,,,
,,,,,,,,,TBA,,,,,,,,,,TBA,08/30-12/17,ONLINE,Gen Ed Disciplines-Soc Science,,,
SR,14009,AFC,362,0,OS1,3,Black Women: Religion&Sexism,TR,11:00 am-12:15 pm,25,0,25,0,0,0,25,0,25,TBA,08/30-12/17,ONLINE,,,,
SR,14010,AFC,363,0,MA1,3,Race and the Zombie,M,09:30 am-10:45 am,25,0,25,0,0,0,0,0,0,Antoinette Pressley-Sanon (P),08/30-12/17,TBA,,,,
,,,,,,,,,TBA,,,,,,,,,,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,,,,
SR,11611,AFC,402L4,0,OA1,3,Intern Sem:Africology&Afri Ame,,TBA,5,0,5,0,0,0,0,0,0,TBA,08/30-12/17,ONLINE,Gen Ed Lrng Beyond Clsrm,,,
SR,14011,AFC,441,0,OM1,3,Law in the African American Experience,R,05:30 pm-08:30 pm,15,0,15,0,0,0,0,0,0,TBA,08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,TBA,08/30-12/17,ONLINE,,,,
SR,14012,AFC,445,0,OM1,3,Themes in African and African Diasporic Philosophies,W,05:30 pm-08:20 pm,10,0,10,0,0,0,35,0,35,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,,,,
SR,11054,AFC,501,0,OM5,3,Foundational Issues in Africology and African American Studies,M,05:30 pm-08:20 pm,6,0,6,0,0,0,36,0,36,TBA,08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,TBA,08/30-12/17,ONLINE,,,,
SR,13001,AFC,502,0,OM5,3,African Philosophical Thought and Aesthetics,W,05:30 pm-08:20 pm,25,0,25,0,0,0,35,0,35,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,Antoinette Pressley-Sanon (P),08/30-12/17,ONLINE,,,,
SR,14013,AFC,507,0,OA5,3,The African Political Economy,,TBA,5,0,5,0,0,0,0,0,0,Victor O Okafor (P),08/30-12/17,ONLINE,,,,
SR,14014,AFC,543,0,OM5,3,Civil Rights and the African American Experience,T,05:30 pm-08:20 pm,15,0,15,0,0,0,0,0,0,Peter D Blackmer (P),08/30-12/17,ONLINE,,,,
,,,,,,,,,TBA,,,,,,,,,,Peter D Blackmer (P),08/30-12/17,ONLINE,,,,
SR,14015,AFC,603,0,OA5,3,Capstone Internship Seminar in Africology & AAS,,TBA,5,0,5,0,0,0,0,0,0,TBA,08/30-12/17,ONLINE,,,,
SR,14016,AFC,690,0,M5,1,Developing a Master's Thesis,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,14017,AFC,691,0,M5,2,Developing a Master's Thesis,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
SR,14018,AFC,692,0,M5,3,Developing a Master's Thesis,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/30-12/17,TBA,,,,
Aging Studies,,,,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute,,,
SR,12325,AGIN,219,0,OA1,3,Around the World in 80 Years,,TBA,17,0,17,0,0,0,25,0,25,Mary E Durocher (P),08/30-12/17,ONLINE,Gen Ed Global Awareness,,,
SR,11601,AGIN,418,0,OA1,2,Into Alzheimers Dis&Rela Demen,,TBA,15,0,15,0,0,0,0,0,0,Jean Marie Barnas Haratsaris (P),08/30-12/17,ONLINE,,,,
